TASK	PID	Vist	Session	Range x	Range y	Range z	Range pitch	Range roll	Range yaw	Max Displacement	Max Scan-to-Scan Displacement	Mean Scan-to-Scan Displacement	Num Scans > 0.5 Voxel Displacement	Num Scans > 5% Global Signal	% of Volumes Repaired
sym1	9477	1	1	0.093177	0.159190	0.482438	0.728804	0.261451	0.139605	0.868297	0.135024	0.050380	0.000000	0.000000	0.226757
sym2	9477	1	1	0.058848	0.186053	0.543378	0.330238	0.197392	0.101554	0.526359	0.148547	0.044663	0.000000	0.000000	0.226757
sym3	9477	1	1	0.071569	0.131906	0.522916	0.631669	0.130252	0.122631	0.802317	0.154942	0.042453	0.000000	0.000000	0.226757
sym4	9477	1	1	0.093497	0.242066	0.952550	1.168009	0.200008	0.224567	1.625924	0.753761	0.044792	0.000000	0.000000	0.226757
resting	9477	1	1	0.194044	0.464671	0.716118	1.005278	0.158437	0.150737	1.297814	0.154568	0.063276	0.000000	0.000000	0.135318
grid1	9477	1	1	0.074709	0.134610	0.349345	0.530342	0.173606	0.140614	0.592883	0.119265	0.036431	0.000000	0.000000	0.226757
grid2	9477	1	1	0.056783	0.242678	0.536777	0.600141	0.527820	0.405116	0.800339	0.252745	0.038444	0.000000	0.000000	0.226757
grid3	9477	1	1	0.070742	0.136457	0.446676	0.876984	0.260590	0.119994	0.808744	0.176422	0.042997	0.000000	0.000000	0.226757
grid4	9477	1	1	0.456465	0.731010	2.882708	3.435761	3.055258	1.560603	4.191335	2.961328	0.112601	6.000000	0.000000	1.587302
sym1	9120	2	1	0.125509	0.261229	1.076328	1.723588	0.517096	0.639977	1.365994	0.880112	0.108221	0.000000	0.000000	0.226757
sym2	9120	2	1	0.188263	0.611862	3.504468	2.521420	0.446946	0.411137	3.470733	1.408757	0.158538	0.000000	0.000000	0.226757
sym3	9120	2	1	0.242226	0.839078	1.633666	1.704508	0.475922	0.470595	1.740752	1.897607	0.085842	1.000000	0.000000	0.453515
sym4_redo	9120	2	1	0.255320	1.015278	1.695612	2.489502	0.634551	0.526501	2.605037	1.431157	0.086637	0.000000	0.000000	0.226757
resting	9120	2	1	0.162515	0.264607	1.434792	0.711270	0.248275	0.182171	1.374517	1.001833	0.121184	0.000000	0.000000	0.135318
grid1	9120	2	1	0.637922	2.427302	4.035178	9.587107	1.301192	1.395327	8.754492	5.028214	0.201570	9.000000	2.000000	2.494331
grid2	9120	2	1	0.355714	1.500173	2.453871	5.564278	0.987685	1.151204	4.659437	3.649536	0.163042	6.000000	0.000000	1.587302
