TASK	PID	Vist	Session	Range x	Range y	Range z	Range pitch	Range roll	Range yaw	Max Displacement	Max Scan-to-Scan Displacement	Mean Scan-to-Scan Displacement	Num Scans > 0.5 Voxel Displacement	Num Scans > 5% Global Signal	% of Volumes Repaired
sym1	9477	1	1	0.014672	0.020685	0.042289	0.631806	3.384473	1.216407	3.720916	3.108111	0.285323	1.000000	0.000000	0.453515
sym2	9477	1	1	0.013749	0.016782	0.037228	0.520080	1.743402	1.287453	1.556238	0.902631	0.285087	0.000000	0.000000	0.226757
sym3	9477	1	1	0.013912	0.016080	0.040632	0.431689	2.842724	1.014834	2.808987	2.353255	0.238171	1.000000	0.000000	0.453515
sym4	9477	1	1	0.012332	0.025887	0.079067	1.051802	5.384056	1.490475	3.702019	4.374382	0.311643	5.000000	0.000000	1.360544
resting	9477	1	1	0.024845	0.049283	0.065058	0.762372	5.331739	1.405334	5.755410	5.291540	0.304642	5.000000	0.000000	0.811908
grid1	9477	1	1	0.006258	0.009921	0.026054	0.685756	2.560927	1.167866	2.908437	2.658359	0.226818	1.000000	0.000000	0.453515
grid2	9477	1	1	0.010627	0.026991	0.034672	1.400790	3.057543	2.384839	3.577019	3.004961	0.267050	1.000000	0.000000	0.453515
grid3	9477	1	1	0.008720	0.013316	0.035206	0.577415	3.928594	1.059061	3.919904	2.910412	0.232035	1.000000	0.000000	0.453515
grid4	9477	1	1	0.046679	0.075299	0.246553	7.559909	18.816054	15.990181	13.447487	15.751171	0.584565	43.000000	0.000000	9.977324
sym1	9120	2	1	0.013545	0.014136	0.099996	2.619162	8.343331	2.631469	6.607042	4.702126	0.499318	30.000000	0.000000	7.029478
sym2	9120	2	1	0.038909	0.051754	0.335386	3.382989	15.279066	6.684154	16.489774	12.630470	0.870426	65.000000	0.000000	14.965986
sym3	9120	2	1	0.023352	0.071764	0.143676	1.811561	9.067103	2.117818	8.281872	9.446997	0.313451	2.000000	0.000000	0.680272
sym4_redo	9120	2	1	0.024874	0.108386	0.149603	2.805608	13.399071	2.952555	12.772161	7.642780	0.338906	13.000000	0.000000	3.174603
resting	9120	2	1	0.015752	0.017490	0.118072	0.815714	3.843779	1.456327	3.995153	3.101863	0.281107	2.000000	0.000000	0.405954
grid1	9120	2	1	0.069311	0.320796	0.325611	7.475638	62.087357	8.948100	48.880153	31.187355	1.518326	121.000000	1.000000	27.664399
grid2	9120	2	1	0.058039	0.160336	0.201316	6.262824	30.812547	5.528888	18.870341	18.014722	1.043543	77.000000	0.000000	17.687075
